"datetime","year","month","constraint_flow","upper_limit"
2020-01-01 05:00:00,2020,"1/1/2020",231.085,263
2020-01-01 11:00:00,2020,"1/1/2020",233.427,263
2020-01-01 17:00:00,2020,"1/1/2020",221.228,263
2020-01-01 23:00:00,2020,"1/1/2020",190.512,263
2020-01-02 05:00:00,2020,"1/1/2020",218.904,263
2020-01-02 11:00:00,2020,"1/1/2020",193.156,263
2020-01-02 17:00:00,2020,"1/1/2020",184.889,263
2020-01-02 23:00:00,2020,"1/1/2020",219.552,263
2020-01-03 05:00:00,2020,"1/1/2020",134.612,263
2020-01-03 11:00:00,2020,"1/1/2020",166.011,263
2020-01-03 17:00:00,2020,"1/1/2020",137.831,263
2020-01-03 23:00:00,2020,"1/1/2020",189.858,263
2020-01-04 05:00:00,2020,"1/1/2020",127.718,263
2020-01-04 11:00:00,2020,"1/1/2020",53.146,263
2020-01-04 17:00:00,2020,"1/1/2020",207.285,263
2020-01-04 23:00:00,2020,"1/1/2020",229.953,263
2020-01-05 05:00:00,2020,"1/1/2020",202.321,263
2020-01-05 11:00:00,2020,"1/1/2020",213.738,263
2020-01-05 17:00:00,2020,"1/1/2020",30.088,263
2020-01-05 23:00:00,2020,"1/1/2020",126.963,263
2020-01-06 05:00:00,2020,"1/1/2020",152.574,263
2020-01-06 11:00:00,2020,"1/1/2020",21.48,263
2020-01-06 17:00:00,2020,"1/1/2020",26.828,263
2020-01-06 23:00:00,2020,"1/1/2020",178.341,263
2020-01-07 05:00:00,2020,"1/1/2020",113.131,263
2020-01-07 11:00:00,2020,"1/1/2020",38,263
2020-01-07 17:00:00,2020,"1/1/2020",24.115,263
2020-01-07 23:00:00,2020,"1/1/2020",145.277,263
2020-01-08 05:00:00,2020,"1/1/2020",169.347,263
2020-01-08 11:00:00,2020,"1/1/2020",114.635,263
2020-01-08 17:00:00,2020,"1/1/2020",209.675,263
2020-01-08 23:00:00,2020,"1/1/2020",229.739,263
2020-01-09 05:00:00,2020,"1/1/2020",213.548,263
2020-01-09 11:00:00,2020,"1/1/2020",157.025,263
2020-01-09 17:00:00,2020,"1/1/2020",25.142,263
2020-01-09 23:00:00,2020,"1/1/2020",114.045,263
2020-01-10 05:00:00,2020,"1/1/2020",115.494,263
2020-01-10 11:00:00,2020,"1/1/2020",172.982,263
2020-01-10 17:00:00,2020,"1/1/2020",178.784,263
2020-01-10 23:00:00,2020,"1/1/2020",219.91,263
2020-01-11 05:00:00,2020,"1/1/2020",192.97,263
2020-01-11 11:00:00,2020,"1/1/2020",74.374,263
2020-01-11 17:00:00,2020,"1/1/2020",58.715,263
2020-01-11 23:00:00,2020,"1/1/2020",184.624,263
2020-01-12 05:00:00,2020,"1/1/2020",189.69,263
2020-01-12 11:00:00,2020,"1/1/2020",144.702,263
2020-01-12 17:00:00,2020,"1/1/2020",27.561,263
2020-01-12 23:00:00,2020,"1/1/2020",143.794,263
2020-01-13 05:00:00,2020,"1/1/2020",149.61,263
2020-01-13 11:00:00,2020,"1/1/2020",100.316,263
2020-01-13 17:00:00,2020,"1/1/2020",181.861,263
2020-01-13 23:00:00,2020,"1/1/2020",144.227,263
2020-01-14 05:00:00,2020,"1/1/2020",121.653,263
2020-01-14 11:00:00,2020,"1/1/2020",59.883,263
2020-01-14 17:00:00,2020,"1/1/2020",84.514,263
2020-01-14 23:00:00,2020,"1/1/2020",174.616,263
